state,income_mean,income_median,expenditure_mean,gini,poverty
Johor,8517,6879,5342,0.36646,4.6
Kedah,5550,4402,3765,0.35938,9
Kelantan,4885,3614,3505,0.3854,13.2
Melaka,8057,6210,5707,0.36963,4.2
Negeri Sembilan,6788,5226,4678,0.36853,4.4
Pahang,5777,4753,4107,0.3077,6.3
Pulau Pinang,8267,6502,5322,0.37058,2
Perak,5779,4494,3903,0.36769,7.5
Perlis,5664,4713,3834,0.33589,4
Selangor,12233,9983,6770,0.36123,1.5
Terengganu,7248,5878,4796,0.32631,6.2
Sabah,6171,4577,3342,0.39491,19.7
Sarawak,6457,4978,3915,0.3818,10.8
